Track;URI;Track;Name;Album;Name;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;Macarena;A Mi Me Gusta;Los Del Rio;13/12/1993;251293;54;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;RCA Records Label;0.923;0.679;8;-14.019;1;0.0888;0.428;0.000131;0.0908;0.965;103.017;4;;;;;;;;;;
spotify:track:5E48mFtui4eFEsEMzXXXqy;Sevilla;Bandido;Miguel Bosé;22/02/1984;282813;42;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;pop latino;Columbia;0.669;0.453;4;-9.475;0;0.0289;0.0492;0.000109;0.184;0.178;126.875;4;;;;;;;;;;
spotify:track:7pjtYZml30McGVL6Lk5bMh;La Carretera;La Carretera;Julio Iglesias;16/05/1995;281040;53;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;bolero;Columbia;0.474;0.333;2;-15.689;1;0.0324;0.663;0.0312;0.128;0.0696;122.826;4;;;;;;;;;;
spotify:track:5ifVQVLUnIk46RRZ90WH7S;Peor para el Sol;Fisica Y Quimica;Joaquín Sabina;10/04/1992;295333;57;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Ariola;0.676;0.341;7;-14.351;1;0.059;0.747;0;0.0987;0.495;105.405;4;;;;;;;;;;
spotify:track:3gqYxzuwt40Q1bLflovbsI;El Muchacho de los Ojos Tristes;Corazon de Poeta;Jeanette;25/05/1992;217333;51;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Sony Music Entertainment;0.705;0.418;9;-12.574;1;0.0302;0.277;0.00000162;0.166;0.798;113.029;4;;;;;;;;;;
spotify:track:0DjSa6czo5ywsf6iCtZW5A;Cannabis;El Vals Del Obrero;Ska-P;01/03/1996;265426;57;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;ska,ska punk,ska mexicano;RCA Records Label;0.563;0.913;7;-2.741;1;0.0543;0.176;0.00000824;0.107;0.952;120.884;4;;;;;;;;;;
spotify:track:6oytv9amMEx3pxSw9UmEtv;El Gato Lopez;El Vals Del Obrero;Ska-P;01/03/1996;160626;53;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;ska,ska punk,ska mexicano;RCA Records Label;0.605;0.989;0;-1.68;1;0.0901;0.069;0;0.33;0.727;110.103;4;;;;;;;;;;
spotify:track:3uczGVEmktxNt15VoBALL6;Fiesta;Mi Niñez;Joan Manuel Serrat;07/05/1997;153000;44;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,nueva trova,cantautores;Ariola;0.49;0.567;8;-6.818;1;0.0674;0.512;0;0.0674;0.673;138.978;4;;;;;;;;;;
spotify:track:0fmASfcJJ6N8hTvGTa8Hhi;Carbón y Ramas Secas;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;283733;50;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.594;0.884;9;-4.29;1;0.125;0.508;0;0.311;0.615;148.015;4;;;;;;;;;;
spotify:track:5simusZ3xbQGA4FxK6jFXI;Tu Seras Mi Amanecer;Diez Y Cuarto;Siempre Asi;19/11/1998;155333;41;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,villancicos,flamenco pop;Discos De Arte;0.694;0.454;0;-11.905;1;0.0976;0.516;0;0.72;0.713;98.894;4;;;;;;;;;;
spotify:track:0FfxAxOlgIUaemwaesR0V4;Noches de Boda;19 Dias Y 500 Noches;Joaquín Sabina;27/09/1999;282800;40;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Legacy Recordings;0.654;0.375;7;-8.957;1;0.147;0.834;0;0.206;0.535;76.013;3;;;;;;;;;;
spotify:track:0ATzislS5SvAp69hjHczej;Solo Se Vive una Vez;Esclava De Tu Piel;Azucar Moreno;06/05/1996;211866;55;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco;Epic;0.743;0.971;6;-4.83;1;0.0533;0.046;0.00000974;0.0431;0.978;101.998;4;;;;;;;;;;
spotify:track:3qzVJh6INW1CzSDVR9MRgS;Bamboléo;Gipsy Kings;Gipsy Kings;23/02/1987;203333;0;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco;Columbia;0.672;0.817;11;-12.107;0;0.0571;0.415;0.000231;0.0715;0.939;119.572;4;;;;;;;;;;
spotify:track:23E6DbN4GMJ2Ffpn6f9qXf;Sobre el Oscuro Abismo en Que Te Meces;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;268560;38;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.629;0.846;8;-4.398;1;0.0557;0.56;0;0.0566;0.77;135.057;4;;;;;;;;;;
spotify:track:4da3nnmnvOGrAkx5nE4CHs;Súper Supermán;"Miguel Bosé. ""Morir De Amor""";Miguel Bosé;1977;221933;22;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;pop latino;Legacy Recordings;0.725;0.826;2;-13.046;1;0.035;0.0118;0.633;0.249;0.921;136.797;4;;;;;;;;;;
spotify:track:5ZAqs1W68ldSzJ0mUO16l4;Calle Melancolia;Mucho Sabina;Joaquín Sabina;1980;266586;52;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Epic;0.667;0.279;3;-16.452;1;0.0356;0.656;0;0.111;0.741;149.483;4;;;;;;;;;;
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;Estopa;18/10/1999;202026;67;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.499;0.721;9;-9.615;0;0.0564;0.216;0.00000974;0.295;0.843;140.4;4;;;;;;;;;;
spotify:track:7u0Mn9qAgZxcSWm0db2PaG;A Quien Tanto He Querido;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;224666;41;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.684;0.716;10;-5.245;0;0.0373;0.193;0.0000012;0.0702;0.863;140.82;4;;;;;;;;;;
spotify:track:2hfv8QRES8BwT49kO0Hhmd;Bajo la Luz de la Luna;Mediterránaeo;Los Rebeldes;1986;200093;42;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;rockabilly;Sony Music Media;0.603;0.554;9;-12.392;1;0.0275;0.355;0;0.144;0.664;105.992;3;;;;;;;;;;
spotify:track:41JrRedwrJxbBPwI8Qku04;Pacto Entre Caballeros;Hotel, Dulce Hotel;Joaquín Sabina;31/08/1987;235426;52;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;trova,cantautores,nueva trova;Ariola;0.369;0.881;10;-11.716;1;0.0601;0.189;0.00000542;0.321;0.562;206.752;4;;;;;;;;;;
spotify:track:1suKCYjsR9rZKnFYM5uK1k;No Controles;Grandes Exitos;Ole Ole;30/03/2010;241199;41;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;;Parlophone Spain;0.66;0.758;0;-12.176;1;0.0336;0.00117;0.00668;0.0897;0.946;132.478;4;;;;;;;;;;
spotify:track:5TEhrKGfl4e2zB3HAevrkV;Zapatero;Arena En Los Bolsillos;Manolo Garcia;14/11/1998;296893;45;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;flamenco,flamenco pop;Ariola;0.696;0.575;1;-5.769;0;0.0308;0.199;0.00000596;0.133;0.384;124.027;4;;;;;;;;;;
spotify:track:3PFyeq4aBtLfShPJ9oiK4p;Te Amaré;"""Miguel""";Miguel Bosé;1980;211733;65;FALSE;mejoresplaylistsspotify;2025-10-22T09:35:09Z;pop latino;Columbia;0.452;0.302;3;-17.023;1;0.0355;0.0663;0;0.116;0.381;149.163;4;;;;;;;;;;
