Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3JOXwHPhtdRU3kYKcf64Gj,"Pero a tu lado","Dos Caras Distintas","Los Secretos",1995-01-01,195226,60,false,majosegarcia,2018-09-08T19:23:52Z,"","DRO/EastWest Spain",0.482,0.857,6,-4.841,1,0.105,0.367,0.000065,0.0756,0.87,79.105,4
spotify:track:3wpNy9hs4929ESKiKHNWbC,"No Controles","No Controles","Ole Ole",2000-10-31,243226,36,false,majosegarcia,2019-01-11T00:07:31Z,"","Sony Music Entertainment",0.666,0.78,0,-11.832,1,0.0315,0.00241,0.0233,0.0671,0.962,132.473,4
spotify:track:437MUs4kWnpM79CIwCHiRP,"Fotonovela","Lo Mejor de Ivan","Ivan",1979,275720,49,false,majosegarcia,2019-01-11T00:07:43Z,"disco italiana,italo dance,hi-nrg","Sony Music Entertainment",0.683,0.568,9,-11.339,0,0.0337,0.0315,0.126,0.0802,0.962,119.8,4
spotify:track:5juAYZUZPMEWJlzwoa9nOO,"Un rayo de sol (Fernando) - 2015 Remastered Version","¡¡Oh, diablos!! (Remastered 2015)","Los Diablos",1970,210120,46,false,majosegarcia,2019-01-11T00:07:51Z,"","Parlophone Spain",0.621,0.528,7,-7.063,1,0.0344,0.578,0.000114,0.467,0.879,126.624,4
spotify:track:2Oi3azsDdJZwM6BPx64Bo2,"La Barbacoa","Para Todos Los Publicos","Georgie Dann",2001-03-19,257800,26,false,majosegarcia,2019-01-11T00:07:53Z,"","RCA Records Label",0.849,0.821,5,-5.245,1,0.0643,0.0306,0,0.125,0.787,133.038,4
spotify:track:6oKFZQqYHYO1GSWzb1EDfP,"Cuatro rosas","4 Rosas Y Que Dios Reparta Suerte","Gabinete Caligari",1984-02-20,207333,45,false,majosegarcia,2019-01-11T00:08:01Z,"","DRO/EastWest Spain",0.534,0.877,10,-3.968,1,0.0254,0.0656,0.000525,0.122,0.706,107.45,4
spotify:track:4H71d1kJ8DB8J4atO8fbBl,"Yo soy aquél","Canta...Raphael","Raphael",1967-12-23,159560,58,false,majosegarcia,2019-01-11T00:08:21Z,"villancicos","Parlophone Spain",0.402,0.427,2,-11.328,0,0.0359,0.795,0,0.222,0.551,111.065,3
spotify:track:0UUJju7jtTViPCdauXKVZ1,"¿Y cómo es él?","15 De Coleccion","José Luis Perales",1975,248000,0,false,majosegarcia,2019-01-11T00:08:24Z,"trova,villancicos","Parlophone Spain",0.219,0.323,10,-12.211,1,0.0333,0.66,0,0.106,0.339,170.437,4
spotify:track:3JclUL96MU6SWZCPb1wzih,"Digan lo que digan","Digan Lo Que Digan: Banda Sonora Original De La Pe","Raphael",1967-12-30,162040,54,false,majosegarcia,2019-01-11T00:08:25Z,"villancicos","Parlophone Spain",0.52,0.561,11,-6.806,1,0.0383,0.746,0,0.32,0.647,114.024,3
spotify:track:2H6pXO5yKat03sbr1ERzZv,"Noelia","Super 20","Nino Bravo",1976-01-01,187093,50,false,majosegarcia,2019-01-11T00:08:32Z,"","Universal Music Spain S.L.",0.193,0.524,9,-10.508,1,0.0384,0.826,0.00733,0.128,0.422,170.246,4
spotify:track:3pQuBenFVWkLNNSRCkXGaF,"Cómo pudiste hacerme esto a mí","Lucha Rock","Alaska Y Dinarama",2004-06-15,247066,27,false,majosegarcia,2019-01-11T00:08:49Z,"rock en español","Parlophone Spain",0.599,0.906,0,-3.009,1,0.0412,0.0455,0.00000491,0.0375,0.392,140.264,4
spotify:track:2UC0OxMpQeSYft4pRswyEX,"Sabor de amor","1984-1989","Danza Invisible",1989-01-01,219640,49,false,majosegarcia,2019-01-11T00:09:14Z,"rock en español","DRO/EastWest Spain",0.637,0.482,9,-11.159,1,0.0378,0.12,0,0.158,0.832,133.799,4
spotify:track:7uou7DWqEQSNfxcfipxyIu,"Cuéntame un cuento","Cuentame Un Cuento","Celtas Cortos",1991-04-17,258666,56,false,majosegarcia,2019-01-11T00:09:17Z,"rock celta,celta","DRO/EastWest Spain",0.442,0.912,11,-3.756,0,0.0381,0.0426,0.0000015,0.0798,0.752,119.65,4
spotify:track:0ATzislS5SvAp69hjHczej,"Solo Se Vive una Vez","Esclava De Tu Piel","Azucar Moreno",1996-05-06,211866,55,false,majosegarcia,2019-01-11T00:09:54Z,"flamenco","Epic",0.743,0.971,6,-4.83,1,0.0533,0.046,0.00000974,0.0431,0.978,101.998,4
spotify:track:6G5GbFe5jWUWqZ3WmXiew5,"Follow the Leader ""Sigue al lider""","Dance Total","Sol Habana",2010-08-16,245133,42,false,majosegarcia,2019-01-11T18:28:38Z,"","Fonodisco",0.789,0.894,1,-7.066,1,0.0491,0.000256,0.0000704,0.983,0.749,142.934,4
spotify:track:3c4OULLWwgRqBfA2dJtRuY,"Love Is In The Air","I Hate the Music","John Paul Young",2009-09-18,210293,2,false,majosegarcia,2019-06-09T22:30:12Z,"","Albert Productions",0.557,0.791,0,-7.201,1,0.0389,0.0254,0.000269,0.0603,0.89,122.337,4
spotify:track:5p6FNeBGfW9oPdBOH8e161,"El rey del Glam","Canciones Profanas","Alaska Y Dinarama",1983,205866,0,false,majosegarcia,2021-05-18T00:31:56Z,"rock en español","Parlophone Spain",0.588,0.928,7,-3.307,1,0.0538,0.00568,0.00000629,0.122,0.533,138.667,4
spotify:track:6inenm457lcRwlDN7GCPc4,"Mediterraneo - Remasterizado","Corazón de Rock and Roll (Remasterizado) [Boxset]","Los Rebeldes",2019-11-15,234786,32,false,majosegarcia,2021-05-18T00:31:56Z,"rockabilly","Legacy Recordings",0.409,0.889,9,-4.009,1,0.0719,0.0688,0,0.191,0.909,147.047,1
spotify:track:4MpLgm6cxPZ1CTywsbMcoe,"Fantastico Amor","En Ciertos Momentos","Eros Ramazzotti",1988,249893,34,false,majosegarcia,2024-04-30T12:18:09Z,"italo dance","RCA Records Label",0.698,0.667,9,-8.529,1,0.0592,0.244,0,0.0941,0.676,155.853,4
