Número;Título;Artista;Año;Enlace
52;El 28;La Oreja de Van Gogh;1998;https://open.spotify.com/intl-es/track/4aNYsOVFqueCQrDeluqp0H
53;Macarena;Los Del Rio;1993;https://open.spotify.com/intl-es/track/4Y6cDd4EPHcEbiUKdyvNwM
54;Cannabis;Ska-P;1995;https://open.spotify.com/intl-es/track/0DjSa6czo5ywsf6iCtZW5A
55;El Gato Lopez;Ska-P;1992;https://open.spotify.com/intl-es/track/6oytv9amMEx3pxSw9UmEtv
56;Fiesta;Joan Manuel Serrat;1992;https://open.spotify.com/intl-es/track/3uczGVEmktxNt15VoBALL6
57;Carbón y Ramas Secas;Manolo Garcia;1996;https://open.spotify.com/intl-es/track/0fmASfcJJ6N8hTvGTa8Hhi
58;Bamboléo;Gipsy Kings;1997;https://open.spotify.com/intl-es/track/3qzVJh6INW1CzSDVR9MRgS
59;Bajo la Luz de la Luna;Los Rebeldes;1998;https://open.spotify.com/intl-es/track/2hfv8QRES8BwT49kO0Hhmd
60;No Controles;Ole Ole;1983;https://open.spotify.com/intl-es/track/1suKCYjsR9rZKnFYM5uK1k
61;El Hombre del Piano;Ana Belén;1999;https://open.spotify.com/intl-es/track/61ccRl3FBtLs3U5HuBtP6e
62;Sorprendente;Leño;1994;https://open.spotify.com/intl-es/track/6Xueg8DmwhkU4xf0Q3xlWN
63;Olvídame y Pega la Vuelta;Pimpinela;1982;https://open.spotify.com/intl-es/track/4FdwRmlzP5KGM7OewGBYiu
64;El Toro Guapo;El Fary;1982;https://open.spotify.com/intl-es/track/6D3YqQ9dUA9LBOLw4CEUj1
65;Amor Eterno;Rocío Dúrcal;1981;https://open.spotify.com/intl-es/track/2TC4v9YiuQYk3Tk8RH7fV4
66;Un Ramito de Violetas;Manzanita;1984;https://open.spotify.com/intl-es/track/02PROe7elhI6Cyu6KJONhX
67;Trátame Suavemente ;Soda Stereo;1984;https://open.spotify.com/intl-es/track/65DBZofI0b79kfHTcWWDuU
68;Como una Ola;Rocío Jurado;1981;https://open.spotify.com/intl-es/track/1gNXYvLc14OmqK6gSJKLUM
69;Señora;Rocío Jurado;1984;https://open.spotify.com/intl-es/track/6XSYNsvSOtDzmH3lFUJnQl
70;Rock And Roll en la Plaza del Pueblo;Tequila;1999;https://open.spotify.com/intl-es/track/5fCYRuYxc1ox7yWKcKD6tf
71;Que Difícil Es Hacer El Amor En Un Simca 1000;Los Inhumanos;1988;https://open.spotify.com/intl-es/track/5sh52OSkS9OoEBJSI2CVxr
72;Escuela de Calor;Radio Futura;1984;https://open.spotify.com/intl-es/track/7J0niAY0FLzGiCVJUREl88
73;Asi Fue;Isabel Pantoja;1984;https://open.spotify.com/intl-es/track/419FFiitGchOUaIMEY7Dqi
74;Agradecido;Rosendo;1988;https://open.spotify.com/intl-es/track/7F5AYZAPcNE9rIpCCHFEeh
75;Como Yo Te Amo - Remasterizado;Rocío Jurado;1997;https://open.spotify.com/intl-es/track/3pBmaSZCoLF0drPRuf85O5
76;Hoy Quiero Confesarme;Isabel Pantoja;1985;https://open.spotify.com/intl-es/track/5wI6PpGIGw25jewhrbnxWG
77;El Mundo Tras el Cristal;La Guardia;1985;https://open.spotify.com/intl-es/track/1VHM7HjNxtZkApy2EabI4e
78;La Cosa Mas Bella;Eros Ramazzotti;1996;https://open.spotify.com/intl-es/track/1EZypwk0xcj64ZLAglhLs2
79;Lija Y Terciopelo;Marea;1988;https://open.spotify.com/intl-es/track/58psRexxWVZNbcUK5BU1d4
80;Ese Hombre;Rocío Jurado;1987;https://open.spotify.com/intl-es/track/47WTpJKUjZ4hxNECGMAVhS
81;Escándalo;Raphael;1992;https://open.spotify.com/intl-es/track/3xbymP6jIcdN0O2PB420bz
82;Cuéntame al Oido;La Oreja de Van Gogh;1992;https://open.spotify.com/intl-es/track/75QcWSFMIh8wkbGHdVQoju
83;A Mi Manera;Gipsy Kings;1998;https://open.spotify.com/intl-es/track/2RPNwpCcxVBhwhNUrJIiyG
84;Garlochi;Isabel Pantoja;1982;https://open.spotify.com/intl-es/track/6rVZRbWjALEyy1i6noyQ6j
85;Alba;Antonio Flores;1992;https://open.spotify.com/intl-es/track/6uojMoKuVkIVEeqH4JCBAr
