Numero;Titulo;Artista;Año;Enlace;Enlace clean;Enlace ok
29;Cuando Brille el Sol;La Guardia;1999;spotify:track:0lFMpSl7fU4FU1ZfVWY7He;0lFMpSl7fU4FU1ZfVWY7He;https://open.spotify.com/intl-es/track/0lFMpSl7fU4FU1ZfVWY7He
30;Vivir Así Es Morir de Amor;Camilo Sesto;1978;spotify:track:3yzHIAzk3zVE1WgspS8W21;3yzHIAzk3zVE1WgspS8W21;https://open.spotify.com/intl-es/track/3yzHIAzk3zVE1WgspS8W21
31;A quién le importa;Alaska Y Dinarama;1986;spotify:track:7Eb5AYiiGWItBNddlmxvnh;7Eb5AYiiGWItBNddlmxvnh;https://open.spotify.com/intl-es/track/7Eb5AYiiGWItBNddlmxvnh
32;Mi gran noche;Raphael;1967;spotify:track:6Tnnk7MAnZiDx67DJN2hnx;6Tnnk7MAnZiDx67DJN2hnx;https://open.spotify.com/intl-es/track/6Tnnk7MAnZiDx67DJN2hnx
33;¡Chas! Y aparezco a tu lado;Alex Y Christina;1988;spotify:track:1eRgClFGphd2MgpyIBsbfS;1eRgClFGphd2MgpyIBsbfS;https://open.spotify.com/intl-es/track/1eRgClFGphd2MgpyIBsbfS
34;Eva Maria;Formula V;1973;spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;5fc3XWSpJo6jTlbjnhGOJQ;https://open.spotify.com/intl-es/track/5fc3XWSpJo6jTlbjnhGOJQ
35;Enamorado de la moda juvenil;Radio Futura;1980;spotify:track:6dC0U0ZJrmSw05sdnjDpGJ;6dC0U0ZJrmSw05sdnjDpGJ;https://open.spotify.com/intl-es/track/6dC0U0ZJrmSw05sdnjDpGJ
36;Viaje con nosotros;Orquesta Mondragon;1980;spotify:track:4YYd1oPidpG7rVu4OLjPG7;4YYd1oPidpG7rVu4OLjPG7;https://open.spotify.com/intl-es/track/4YYd1oPidpG7rVu4OLjPG7
37;Hoy No Me Puedo Levantar;Mecano;1982;spotify:track:4oHDiaCilM1xWIr55LjxO0;4oHDiaCilM1xWIr55LjxO0;https://open.spotify.com/intl-es/track/4oHDiaCilM1xWIr55LjxO0
38;Don Diablo;Miguel Bosé;1980;spotify:track:2yNkRWz9x7x3halzGPnYqn;2yNkRWz9x7x3halzGPnYqn;https://open.spotify.com/intl-es/track/2yNkRWz9x7x3halzGPnYqn
39;Yo no te pido la luna (Non voglio mica la luna);Daniela Romo;1984;spotify:track:09uE7kHv2ESkvtInKugpGM;09uE7kHv2ESkvtInKugpGM;https://open.spotify.com/intl-es/track/09uE7kHv2ESkvtInKugpGM
40;Me Colé en una Fiesta;Mecano;1982;spotify:track:7zteNrLJJwjGa8e2IodVOp;7zteNrLJJwjGa8e2IodVOp;https://open.spotify.com/intl-es/track/7zteNrLJJwjGa8e2IodVOp
41;Bailando;Alaska Y Los Pegamoides;1982;spotify:track:0OteyYh6inrfcil1XGwC3r;0OteyYh6inrfcil1XGwC3r;https://open.spotify.com/intl-es/track/0OteyYh6inrfcil1XGwC3r
42;Te Estoy Amando Locamente;Las Grecas;1974;spotify:track:5QfmCmdL4qnzqMz5Z0gvzV;5QfmCmdL4qnzqMz5Z0gvzV;https://open.spotify.com/intl-es/track/5QfmCmdL4qnzqMz5Z0gvzV
43;Cadillac solitario - Live;Loquillo Y Los Trogloditas;1989;spotify:track:3GHgLIY5drnms1MPKcMlmi;3GHgLIY5drnms1MPKcMlmi;https://open.spotify.com/intl-es/track/3GHgLIY5drnms1MPKcMlmi
44;Adiós papá;Los Ronaldos;1988;spotify:track:29OKK8URiORBpRsimvzsmm;29OKK8URiORBpRsimvzsmm;https://open.spotify.com/intl-es/track/29OKK8URiORBpRsimvzsmm
45;Bailaré sobre tu tumba;Siniestro Total;1985;spotify:track:36PL1fiYUnX7pJQRY1qwVw;36PL1fiYUnX7pJQRY1qwVw;https://open.spotify.com/intl-es/track/36PL1fiYUnX7pJQRY1qwVw
46;El Pistolero;Pistones;1983;spotify:track:5d0M8iFSNn4fonHyRT8yeq;5d0M8iFSNn4fonHyRT8yeq;https://open.spotify.com/intl-es/track/5d0M8iFSNn4fonHyRT8yeq
47;El Limite;La Frontera;1989;spotify:track:0NFcUhw2uKzX0zqH81tWOu;0NFcUhw2uKzX0zqH81tWOu;https://open.spotify.com/intl-es/track/0NFcUhw2uKzX0zqH81tWOu
48;Maneras de Vivir (Single Estudio);Leño;1981;spotify:track:7kCiAaismDVaCjpyGF3YJB;7kCiAaismDVaCjpyGF3YJB;https://open.spotify.com/intl-es/track/7kCiAaismDVaCjpyGF3YJB
49;Veneno en la Piel;Radio Futura;1984;spotify:track:3RDMd9JiKdVik8zjGhZ0wJ;3RDMd9JiKdVik8zjGhZ0wJ;https://open.spotify.com/intl-es/track/3RDMd9JiKdVik8zjGhZ0wJ
50;No Mires a los Ojos de la Gente;Golpes Bajos;1983;spotify:track:1KH2PcBCAaHRL6F5ZZgY1S;1KH2PcBCAaHRL6F5ZZgY1S;https://open.spotify.com/intl-es/track/1KH2PcBCAaHRL6F5ZZgY1S
51;Quiero tener tu presencia;Seguridad Social;1993;spotify:track:3f2k0XTc2ZXG17jEMDu8pp;3f2k0XTc2ZXG17jEMDu8pp;https://open.spotify.com/intl-es/track/3f2k0XTc2ZXG17jEMDu8pp
52;Un rayo de sol (Fernando) - 2015 Remastered Version;Los Diablos;1970;spotify:track:5juAYZUZPMEWJlzwoa9nOO;5juAYZUZPMEWJlzwoa9nOO;https://open.spotify.com/intl-es/track/5juAYZUZPMEWJlzwoa9nOO
53;¿Y cómo es él?;José Luis Perales;1984;spotify:track:0UUJju7jtTViPCdauXKVZ1;0UUJju7jtTViPCdauXKVZ1;https://open.spotify.com/intl-es/track/0UUJju7jtTViPCdauXKVZ1
54;Digan lo que digan;Raphael;1967;spotify:track:3JclUL96MU6SWZCPb1wzih;3JclUL96MU6SWZCPb1wzih;https://open.spotify.com/intl-es/track/3JclUL96MU6SWZCPb1wzih
55;Noelia;Nino Bravo;1975;spotify:track:2H6pXO5yKat03sbr1ERzZv;2H6pXO5yKat03sbr1ERzZv;https://open.spotify.com/intl-es/track/2H6pXO5yKat03sbr1ERzZv
56;Sabor de amor;Danza Invisible;1988;spotify:track:2UC0OxMpQeSYft4pRswyEX;2UC0OxMpQeSYft4pRswyEX;https://open.spotify.com/intl-es/track/2UC0OxMpQeSYft4pRswyEX
57;Solo Se Vive una Vez;Azucar Moreno;1989;spotify:track:0ATzislS5SvAp69hjHczej;0ATzislS5SvAp69hjHczej;https://open.spotify.com/intl-es/track/0ATzislS5SvAp69hjHczej
58;"Follow the Leader ""Sigue al lider""";Sol Habana;1991;spotify:track:6G5GbFe5jWUWqZ3WmXiew5;6G5GbFe5jWUWqZ3WmXiew5;https://open.spotify.com/intl-es/track/6G5GbFe5jWUWqZ3WmXiew5
59;Y Nos Dieron las Diez;Joaquín Sabina;1992;spotify:track:1eCie6lwjb4crxeAvkRaSi;1eCie6lwjb4crxeAvkRaSi;https://open.spotify.com/intl-es/track/1eCie6lwjb4crxeAvkRaSi
60;Amante Bandido;Miguel Bosé;1984;spotify:track:1hj6nYHeGclSY0VNTHMi27;1hj6nYHeGclSY0VNTHMi27;https://open.spotify.com/intl-es/track/1hj6nYHeGclSY0VNTHMi27
61;Salta!!!;Tequila;1981;spotify:track:0M2tanh26PWePnaGVV3h3y;0M2tanh26PWePnaGVV3h3y;https://open.spotify.com/intl-es/track/0M2tanh26PWePnaGVV3h3y
62;19 Dias y 500 Noches;Joaquín Sabina;1999;spotify:track:4Kii4OhkRIezu0KjOiFq0G;4Kii4OhkRIezu0KjOiFq0G;https://open.spotify.com/intl-es/track/4Kii4OhkRIezu0KjOiFq0G
63;Mediterraneo;Los Rebeldes;1990;spotify:track:6QBLmxP1tU6lw1dhKQulau;6QBLmxP1tU6lw1dhKQulau;https://open.spotify.com/intl-es/track/6QBLmxP1tU6lw1dhKQulau
64;Siete Vidas;Antonio Flores;1984;spotify:track:1gh0aMZmO6o30LS12lEJWQ;1gh0aMZmO6o30LS12lEJWQ;https://open.spotify.com/intl-es/track/1gh0aMZmO6o30LS12lEJWQ
65;Penelope;Joan Manuel Serrat;1969;spotify:track:5sfy5t9U4Uhp6jPKvq2muQ;5sfy5t9U4Uhp6jPKvq2muQ;https://open.spotify.com/intl-es/track/5sfy5t9U4Uhp6jPKvq2muQ
66;Resistiré;Duo Dinamico;1998;spotify:track:2oI6d7XcMz1AMTQhDopV5J;2oI6d7XcMz1AMTQhDopV5J;https://open.spotify.com/intl-es/track/2oI6d7XcMz1AMTQhDopV5J
67;El 28;La Oreja de Van Gogh;1998;spotify:track:4aNYsOVFqueCQrDeluqp0H;4aNYsOVFqueCQrDeluqp0H;https://open.spotify.com/intl-es/track/4aNYsOVFqueCQrDeluqp0H
68;Macarena;Los Del Rio;1993;spotify:track:4Y6cDd4EPHcEbiUKdyvNwM;4Y6cDd4EPHcEbiUKdyvNwM;https://open.spotify.com/intl-es/track/4Y6cDd4EPHcEbiUKdyvNwM
69;La Carretera;Julio Iglesias;1995;spotify:track:7pjtYZml30McGVL6Lk5bMh;7pjtYZml30McGVL6Lk5bMh;https://open.spotify.com/intl-es/track/7pjtYZml30McGVL6Lk5bMh
70;Cannabis;Ska-P;1995;spotify:track:0DjSa6czo5ywsf6iCtZW5A;0DjSa6czo5ywsf6iCtZW5A;https://open.spotify.com/intl-es/track/0DjSa6czo5ywsf6iCtZW5A
71;El Gato Lopez;Ska-P;1992;spotify:track:6oytv9amMEx3pxSw9UmEtv;6oytv9amMEx3pxSw9UmEtv;https://open.spotify.com/intl-es/track/6oytv9amMEx3pxSw9UmEtv
72;Fiesta;Joan Manuel Serrat;1992;spotify:track:3uczGVEmktxNt15VoBALL6;3uczGVEmktxNt15VoBALL6;https://open.spotify.com/intl-es/track/3uczGVEmktxNt15VoBALL6
73;Carbón y Ramas Secas;Manolo Garcia;1996;spotify:track:0fmASfcJJ6N8hTvGTa8Hhi;0fmASfcJJ6N8hTvGTa8Hhi;https://open.spotify.com/intl-es/track/0fmASfcJJ6N8hTvGTa8Hhi
74;Bamboléo;Gipsy Kings;1997;spotify:track:3qzVJh6INW1CzSDVR9MRgS;3qzVJh6INW1CzSDVR9MRgS;https://open.spotify.com/intl-es/track/3qzVJh6INW1CzSDVR9MRgS
75;Bajo la Luz de la Luna;Los Rebeldes;1998;spotify:track:2hfv8QRES8BwT49kO0Hhmd;2hfv8QRES8BwT49kO0Hhmd;https://open.spotify.com/intl-es/track/2hfv8QRES8BwT49kO0Hhmd
76;No Controles;Ole Ole;1983;spotify:track:1suKCYjsR9rZKnFYM5uK1k;1suKCYjsR9rZKnFYM5uK1k;https://open.spotify.com/intl-es/track/1suKCYjsR9rZKnFYM5uK1k
