Track URI;n;Track;Artist;Release Year
spotify:track:4TUYhTFCrUoJCONLmcZ3Zg;126;Marea;Marea;1999
spotify:track:5QJhfu8ajjVuJetRxw1B4K;127;Cumpleaños Total;Los Planetas;1999
spotify:track:6IDgYT1p1n0M5kQVjLQozC;128;Aprendiz;Malú;1998
spotify:track:2rHhKu1hW8uqyr7LSrRn8E;129;Bandido;Azucar Moreno;1990
spotify:track:4zMJYmYSTZBNn1YdZVznSS;130;Sabor, Sabor;Rosario;1992
spotify:track:75cWbqIqhfEfX8uOHlgWZV;131;Punto De Partida (with Monica Naranjo);Rocío Jurado;2006
spotify:track:1qKxd0wZWIBR2D3dqFJbVD;132;Corazón de Tiza;Radio Futura;1984
spotify:track:4V9rNbT5b0TTZrGAEgteDi;133;Camino de la cama;Siniestro Total;1990
spotify:track:1k4kMMTPN5Yc0KdMxtMTuj;134;Los Chicos Con las Chicas;Los Bravos;1998
spotify:track:4z2EeFUp5Lhai9qhHtA6IF;135;Salir;Extremoduro;1991
spotify:track:7ifOnwJC0oH7cfbJQbUye1;136;20 de abril;Celtas Cortos;1999
spotify:track:7M65iLprqQ9UJNqer4g6AM;137;Llamando a la tierra - Serenade From the Stars;M-Clan;1997
spotify:track:1MrZ8hGkUWMmT816wPaMgE;138;La flaca;Jarabe De Palo;1996
spotify:track:7nK3q1GgJDxlWfCwtiLV5a;139;A fuego lento;Rosana;1996
spotify:track:1MO5KuLnSaY1dlkWGDjHkT;140;¡Que Bonito!;Rosario;1996
spotify:track:1JpZMDDAkfhnrO6nXIQZ2g;141;Noches de bohemia - Radio Edit;Navajita Platea;1997
spotify:track:1p7m9H4H8s0Y7SgRm7j3ED;142;Flaca;Andrés Calamaro;1997
spotify:track:5hyq5k3Do9gW3HGvDg5ZEJ;143;La Lola;Café Quijano;1998
spotify:track:2tkMVjFwDzUCG3ulmz3fCb;144;El sitio de mi recreo;Antonio Vega;1998
spotify:track:4B6ko7lt1sUtyFzBDF4yfK;145;Pajaros de Barro;Manolo Garcia;1995
spotify:track:0IUFjvwlh18TWiTi6kO5pP;146;Como un burro amarrado en la puerta del baile;El Último De La Fila;1993
spotify:track:6tGUkobti5ztrb9aQ0UDEx;147;Por verte sonreír;La Fuga;1998
spotify:track:740Rh302Wm6uHRsYTa4KDQ;148;A San Fernando un Ratito a Pie y Otro Caminando;Manolo Garcia;1998
spotify:track:0wmYFlVkmGVUtfcY1r0SrP;149;Grita;Jarabe De Palo;1996
spotify:track:4M1lEbqPzlEw1JYWB6aE7K;150;Estoy Aquí;Shakira;1995
spotify:track:7BYqVvoXpQFhs4jJ0qqNZt;151;Entre dos tierras;Heroes Del Silencio;1990
spotify:track:6cPLCU7hKjgjvLWzCevl7R;152;Vivo per lei;Andrea Bocelli;1995
spotify:track:5HSpMRUC4m3L3q48to2Kmu;153;So payaso;Extremoduro;1996
spotify:track:42R5irny7qThOYUThAL7VW;154;Rojitas las orejas;Fito y Fitipaldis;1998
spotify:track:3tduKvstqxOddo4CCq4FK1;155;Mar antiguo;El Último De La Fila;1993
spotify:track:7qhuaYIafvH285FtQT71oQ;156;Al Amanecer;Los Fresones Rebeldes;1997
spotify:track:6dMKB6nyxcg8hllDzPCvRc;157;La senda del tiempo;Celtas Cortos;1990
spotify:track:37f6dBsGwi5V9OOXI1KYe7;158;Promesas que no valen nada;Los Piratas;1995
spotify:track:4tzi4VV1vCTZsT4SEKQIKJ;159;Serenade;Dover;1997
spotify:track:3EPd9riN2R8Zjl6GkrxxGl;160;El roce de tu cuerpo;Platero Y Tu;1992
spotify:track:0wkQHjULGZeZC15hOl9jl4;161;Cosas de la Edad;Modestia Aparte;1990
spotify:track:0DXI6c9tNWsI4tvUftkQN8;162;Tu Calorro;Estopa;1999
spotify:track:2UNsLrBr6NXkIDtfMc4Vbw;163;Te echaré de menos (feat. Sole Gimenez);Los Piratas;1997
spotify:track:4eJikwHYHJ3yMg1tvS1Mom;164;Chiquilla;Seguridad Social;1991
spotify:track:0UQitarNPDgB7ObJCj47kn;165;Quedate a dormir;M-Clan;1999
spotify:track:3eSxyGVZawSoh1JUEEoVDD;166;Como Te Mueves;Modestia Aparte;1991
spotify:track:5OaqffbeQyVVqtnA71Ci7K;167;Por la Raja de Tu Falda;Estopa;1999
spotify:track:5kQb5n1sMy5CmYTSoB5p6M;168;Dolores se llamaba Lola;Los Suaves;1988
spotify:track:5z4bBpoquaB0xHvXZH9L2w;169;Eldorado;Revolver;1995
spotify:track:5lg2cApHn9zCVkJcwou0iN;170;Papá Cuéntame Otra Vez;Ismael Serrano;1997
spotify:track:4t4JJ0RG2KWhrTVdSrp7O9;171;Una Rosa Es una Rosa;Mecano;1991
spotify:track:0FJBWXOa9tYcJCxv1YxP9H;172;En Blanco Y Negro;Barricada;1995
spotify:track:0fN93Sc6gJCkHbh9bqlLX7;173;Tras la barra;Platero Y Tu;1993
spotify:track:6aaPUBUFw9KEW1p1inVQv9;174;Depende;Jarabe De Palo;1998
spotify:track:7wjQF9XTCrjvQZLeZBGMWs;175;Lagrimas De Amor;Camela;1994
spotify:track:4SnU0W6LY2CD4iH5vb4kgQ;176;Voy en un coche;Christina y Los Subterraneos;1992
spotify:track:4ZWU1yATGjEQQz2FCnmX3b;177;Ya No Quiero Tu Querer;José El Francés;1993
spotify:track:78DVpEWwmJFC25KGz8fJuE;178;Clavado en Un Bar;Maná;1997
spotify:track:02MahX3ZEDqQI8akhisqOc;179;Si es tan solo amor;Revolver;1993
spotify:track:36j2mLDy4nPQRnvst4moR4;180;Hay poco rock'n'roll;Platero Y Tu;1994
spotify:track:06xLo8Oa53wmBMdWcIsqPL;181;Mucho mejor (feat. Coque Malla);Los Rodriguez;1995
spotify:track:7jxHeJLVpnP7S08JFF4GBi;182;Ciega, Sordomuda;Shakira;1998
spotify:track:6PfQB3xEbIlky1dXOb3Yyh;183;Amigos para Siempre;Los Manolos;1992
spotify:track:4wzMQBLGXFoZkbEwNP2QJu;184;El ritmo del mar;Celtas Cortos;1991
spotify:track:6eOT73H5zfEwTCe1Y0FDCc;185;Sin documentos;Los Rodriguez;1993
spotify:track:4LxFbjtxUtV1h6DNIqRBIK;186;Kalikeno - Rumba;Ketama;1990
spotify:track:3K8BeABgLXZ3JHhdM3rZBx;187;No Puedo Vivir Sin Ti;El Canto Del Loco;2009
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;188;El Secreto de las Tortugas;Maldita Nerea;2009
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;189;Zapatillas;El Canto Del Loco;2005
spotify:track:1VB4sadHjFcFklHcZuoROi;190;Como Camarón;Estopa;1999
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;191;Princesas;Pereza;2005
spotify:track:4waqcUQWdj0yH26STWl2Rq;192;Rosas;La Oreja de Van Gogh;2003
spotify:track:4QBrx05HrLnohYaS1cPGHO;193;Volvera;El Canto Del Loco;2005
spotify:track:0XJAzR3E4lq5aNGGDh8HUT;194;Con La Luna Llena;Melendi;2005
spotify:track:7cC1xYRITIkGKAGCSyqCAv;195;Son de Amores;Andy & Lucas;2003
spotify:track:3ri9fLG89OdSpjxheYxU7S;196;Me Muero;La Quinta Estacion;2006
spotify:track:1uFW6czrHk5PsK3s6gOI7C;197;Se Fue;Rauw Alejandro;2024
spotify:track:0quM3iWAOKw9OGIMBsppSC;198;SI ELLA SUPIERA;India Martinez;2022
spotify:track:6z98CyBiVapgBCecH98y4d;199;El Polvo de los Días Raros;Leiva;2025
spotify:track:1TtwCkFbGv89XmuUNmoINt;200;Puede Ser (with Amaia Montero);El Canto Del Loco;2002
spotify:track:4l7qXzZrZnr2RUgSVSKtnD;201;Carpe Diem;Dani Martín;2024
spotify:track:5xKUXB7fsIEpDYc6mBfSwT;202;Hoy no me siento bien;Alejandro Sanz;2024
spotify:track:6XY4Zaf0AoE5movPc2FfaZ;203;La Salvación;Arde Bogotá;2024
spotify:track:5zyxGztIuOp27VhkVf1hMZ;204;Dolce Vita;Amaral;2025
spotify:track:51VLqRIxEjfT6guWSxEElY;205;Pop;Vicco;2023
spotify:track:7bM39j41perIVseatvugg3;206;PLAN DE HOY [QUIERO VERTE];Abraham Mateo;2025
spotify:track:27AycGPhBPGCc6YnTZTaSh;207;HOY TENGO GANAS DE TI;Abraham Mateo;2024
spotify:track:5sKdpvvNyRJifUmYLNiYys;208;Viento de Cara;Supersubmarina;2014
spotify:track:3CmSv76KDKsvtiyrdgHZHH;209;La Razón;Ana Mena;2024
spotify:track:4bPxqFfAt9EaFqdIDTxczw;210;Me Acuerdo De Ti;Abraham Mateo;2024
spotify:track:6o8AfVju660AZb5XL5rzzP;211;Futuros amantes;Guitarricadelafuente;2025
spotify:track:3MTzCXM4r6yTOLhiuIaRfh;212;Bailarina;Abraham Mateo;2024
spotify:track:1RG4xMoRobbuqGYHaF4nRp;213;Tormenta Perfecta;Amaia Montero;2014
spotify:track:7CsOowK8aWlxgjuZLW7pXA;214;EL PANTALON - RUMBAS;Omar Montes;2024
spotify:track:26V1bLUk0SBYkLEwl4caPR;215;Clavaito;Chanel;2023
spotify:track:6KHxe3Yj8W8oq3zviUvJRe;216;Madrid City;Ana Mena;2023
spotify:track:7MKO7rUZzjw8p87zdZDgqa;217;Besos;El Canto Del Loco;2005
spotify:track:1b9sYsa4aFiBv7mqOKvwsM;218;Nunca Volverás;Vicco;2023
spotify:track:00MEN35cUoB4rp00iZuiFV;219;ENGATUSAO =^.^=;Vicco;2024
spotify:track:45VlOHY7pEd6IC3plYeKZ3;220;BABIECA!;Guitarricadelafuente;2025
spotify:track:5MMEQLCzl9GsknyH42xFOX;221;Palmeras en el jardín;Alejandro Sanz;2024
spotify:track:6vYVTjrP8Nd6nsdjCrabM5;222;El Último Día de Nuestras Vidas;Dani Martín;2024
spotify:track:02FKjeU8CrA2ckppBa5RJg;223;Comiendote a Besos;Rozalén;2013
spotify:track:2Y9xXXMWqETUfonJjXP25k;224;Tienes Que Saber;Abraham Mateo;2022
spotify:track:0EpdLuptraYGFZ6J7HNSLc;225;LAS 12;Ana Mena;2022
spotify:track:4snJ71Uz5KvX1CW0SaUiZY;226;Falsos Recuerdos;Abraham Mateo;2022
spotify:track:7cJDcvC6nSbkx4quEn7vTk;227;Titiritar;Pol Granch;2024
spotify:track:3asOJIkC0NT24zR2S20azY;228;A carta cabal;Guitarricadelafuente;2022
spotify:track:2SiAcexM2p1yX6joESbehd;229;LLYLM;ROSALÍA;2023
spotify:track:1uUVwLyzKnU8ft18H3QDu9;230;solo x ti;Pol Granch;2022
spotify:track:0ALmQwK6LPYk8dkZozCGd9;231;No, No Vuelve;Dani Martín;2021
spotify:track:60e6OnYOu0h7LLhYXgINma;232;La Culpa (feat. Canelita);C. Tangana;2021
spotify:track:1MAbXU7OMsOSEH9RoGT5Rs;233;La increíble historia entre tú y yo;Maldita Nerea;2022
spotify:track:34vh6JPA1veSYpM0hkNCSE;234;Gigante;Leiva;2025
spotify:track:1J9wWlo3oI3HjPnp48L3XL;235;TE PIENSO A CADA HORA;Dvicio;2022
spotify:track:1JurgyjeCTcDyZErghSV0y;236;Ké Más Nos Da;Estopa;2024
spotify:track:20CozgjF6bshBw8cLhN23B;237;Nochentera;Vicco;2022
spotify:track:60WnyQpJMxndoCwfo3TbuE;238;XQ Sigues Pasando :(;Abraham Mateo;2022
spotify:track:5LNJHJJd8aBY0aW9CgSgbz;239;La Musiquita;Daviles de Novelda;2021
spotify:track:4GKjSwmowWO082NGn11wNj;240;Ester Expósito;Dani Martín;2024
spotify:track:7GJVqqE79WOl8ncT7Y4z0L;241;Lentamente;Ana Mena;2023
spotify:track:7nIwaCJSx1QHK82f5HlRDe;242;Pon Que Dale;Niña Pastori;2023
spotify:track:21AH6D2xxBxjduEbZHh7i5;243;Cómo Me Gustaría Contarte;Dani Martín;2020
spotify:track:5xiAfKzE3mbxYbOkUZPR11;244;Ateo;C. Tangana;2021
spotify:track:5BSclXJTa9B0iURhUjZo50;245;La Tortura (feat. Alejandro Sanz);Shakira;2005
spotify:track:53y5byq0942aVeWaxU6mPa;246;Kriño;Pol Granch;2022
spotify:track:4aAfLSx9IthpC3Pw5pNk3E;247;Como Si Fueras a Morir Mañana;Leiva;2019
spotify:track:3CY6JuDw7bEHRmryKvTuoe;248;La Noria (with Amaral);Pereza;2006
spotify:track:07TRc0Glkk8wDVq3eC5f2Z;249;Me He Pillao x Ti;Ana Mena;2023
spotify:track:490e7PHsxkzMot8qCO36Bt;250;pa;TINI;2024
spotify:track:70AYiGbc4mWZGEqiipBBDb;251;CANDY;ROSALÍA;2022
spotify:track:53dfoY17ZWSnG92lrBCqMg;252;Nena;Pol Granch;2022
spotify:track:277ia0CBOO47RhG7XSLj4b;253;Risueña;Omar Montes;2023
spotify:track:4hO4Y9WR9NL5L7XnqtbTyE;254;90 Minutos;India Martinez;2011
spotify:track:42k1KeBehAd83lrGt1okiC;255;Loca (feat. El Cata);Shakira;2010
spotify:track:2VTaauLbYR0VxWaT9rlQFi;256;Pienso en Aquella Tarde - Nueva Versión;Pereza;2003
spotify:track:12oFSoib1tf0r2rd1Fgsfe;257;Convénceme;India Martinez;2019
spotify:track:4eUhX5KmmQp537lxDJpmQK;258;La Madre;Víctor Manuel;2024
spotify:track:0Wn489VvZ0b5MRm62LMmUM;259;Portales;Dani Martín;2020
spotify:track:0JKUSybmsE4rU1MpImJn0j;260;Cómo Quieres Que Te Quiera;Rosario;1999
spotify:track:7chjOPhoxbpRYSrO1rvdnu;261;5 Sentidos;Dvicio;2017
spotify:track:0XPayKZFFZA2PwSRNi1pVU;262;Terriblemente Cruel;Leiva;2014
spotify:track:7oZpaS7DDMyl3U7RnHsPKp;263;Siete Vidas;Antonio Flores;1994
spotify:track:0j6eJIII2AucQBgCGxPrFx;264;Millonario;Pol Granch;2020
spotify:track:4uctPC0cRfw3vOmK2YF4xR;265;Mi Pequeño Chernóbil;Leiva;2020
spotify:track:4CiY69daQtmIl2RNqsYCtp;266;Un último vals;Joaquín Sabina;2024
spotify:track:4zSpfYHyf6bN2jJVO0so03;267;Este Tren;Rozalén;2020
spotify:track:4BOSdVvfw3b5EAhIK5EIVX;268;Nuestro Tiempo;Amaral;2019
spotify:track:5YT1NfgHvrJUhgoHrvD9h7;269;Dejaría Todo;Chayanne;1998
spotify:track:0JXRA6bYdnwkHYAlIwEWb8;270;En el Mundo Genial de las Cosas Que Dices;Maldita Nerea;2011
spotify:track:4fYAcwdEtW2VCZe5Xoe7iC;271;A Contracorriente;El Canto Del Loco;2002
spotify:track:3nN5n70vM1tAMWBDZaRbxS;272;Dieciocho;Dani Martín;2018
spotify:track:3uyXupf90Zy56shfjUj7AB;273;Arráncame la Piel;Pol Granch;2020
spotify:track:6wfadwumj3jluiqFxqvIl0;274;Si Quieres Bailamos (with Quique Gonzalez);Pereza;2006
