Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3X8buu765D59qlQ6z78I8A,"Hey - Spanish","Begin the Beguine","Julio Iglesias",1978,300600,62,false,perdi_23,2023-07-02T19:16:35Z,"bolero","Columbia",0.535,0.311,2,-16.09,1,0.0343,0.449,0,0.187,0.32,103.543,4
spotify:track:1hj6nYHeGclSY0VNTHMi27,"Amante Bandido","Bandido","Miguel Bosé",1984-02-22,261360,67,false,perdi_23,2023-07-02T19:16:35Z,"pop latino","Columbia",0.748,0.691,2,-8.88,1,0.0354,0.0515,0.00256,0.0494,0.762,131.061,4
spotify:track:6PfQB3xEbIlky1dXOb3Yyh,"Amigos para Siempre","Dulce Veneno","Los Manolos",1992-06-23,264826,49,false,perdi_23,2023-07-02T19:16:35Z,"flamenco,flamenco pop","RCA Records Label",0.705,0.845,1,-10.123,1,0.0445,0.343,0.00000231,0.0634,0.925,117.652,4
spotify:track:7rHt4q7rsx4boISKgwAIyo,"Y Viva España","20 Exitos","Manolo Escobar",1988-03-15,218400,32,false,perdi_23,2023-07-02T19:16:35Z,"villancicos,flamenco","MSM Agency, Inc.",0.603,0.23,11,-16.796,1,0.0496,0.413,0,0.354,0.904,122.997,4
spotify:track:2uE73kgerQdA6h3jN5Pvrb,"Como las Alas al Viento","Como las Alas al Viento","Rocío Jurado",1993-04-22,314960,35,false,perdi_23,2023-07-02T19:16:35Z,"flamenco","Columbia",0.337,0.78,9,-7.598,0,0.0897,0.301,0,0.324,0.482,81.982,4
spotify:track:3OLADK5y0rOTjyuQ6cPn7t,"Por Ella","Por Ella","José Manuel Soto",1988-10-31,305840,35,false,perdi_23,2023-07-02T19:16:35Z,"flamenco,flamenco pop,villancicos","Columbia",0.351,0.443,2,-12.551,1,0.0663,0.6,0.000143,0.199,0.288,175.114,4
spotify:track:3WKKcK2roswqPclbZeC8bE,"Hoy Quiero Confesarme - Remasterizado","Querida Isabel - Tus Mejores Canciones (Remasterizado 2022)","Isabel Pantoja",1975,289920,48,false,perdi_23,2023-07-02T19:16:35Z,"villancicos,flamenco","Legacy Recordings",0.468,0.581,5,-3.899,1,0.0349,0.682,0,0.336,0.582,76.896,4
spotify:track:1aZc9YBrZpKCE1YqSMV5Vg,"Chica de ayer","Grandes Éxitos: Nacha Pop","Nacha Pop",2005-03-21,208026,49,false,perdi_23,2023-07-02T19:16:35Z,"rock en español","Parlophone Spain",0.674,0.854,7,-4.337,1,0.034,0.0579,0.00041,0.0735,0.684,127.295,4
spotify:track:0kVOor973ijVqOBhYqvaE8,"Me Olvide De Vivir","Begin the Beguine","Julio Iglesias",1978,292573,68,false,perdi_23,2023-07-02T19:16:35Z,"bolero","Columbia",0.43,0.272,0,-15.526,1,0.04,0.716,0.0000387,0.278,0.582,123.948,4
spotify:track:3n4K7eJIfqIg93cZNAHiHy,"No me lo creo","Por Tu Ausencia","Manzanita",1999,249053,48,false,perdi_23,2023-07-02T19:16:35Z,"flamenco,flamenco pop","WM Spain",0.554,0.486,8,-9.102,0,0.0335,0.624,0,0.906,0.268,132.066,4
