Track URI;n;Track;Artist;Release Year
spotify:track:5E48mFtui4eFEsEMzXXXqy;60;Sevilla;Miguel Bosé;22/02/1984
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ;61;Corazón partío;Alejandro Sanz;1997
spotify:track:176g8fHhvPf47DrEoCjNMx;62;Estando Contigo;Marisol;17/12/1961
spotify:track:5hv3nMY3NKyDL7cSsrSYog;63;Chica Ye Ye;Concha Velasco;29/10/2001
spotify:track:6buqYaAyimysMjE8yuiaXy;64;Cuéntame;Formula V;01/01/1985
spotify:track:4awJGQ6TIS542X4XS7PWu7;65;A Tu Vera;Lola Flores;26/06/1991
spotify:track:33k8zbWznPWMJyKW6uvFF6;66;La Luna y el Toro;Manolo Escobar;05/05/2005
spotify:track:1EC0JRoSi9YL5zExd3Euc3;67;No Puedo Vivir Sin Ti;Los Ronaldos;19/03/2007
spotify:track:5IU4JO2cpa0wPK8oQWFfCr;68;Un Beso Y Una Flor;Nino Bravo;01/01/1976
spotify:track:1kXTqAV4IshAbOQpWl9PkE;69;Hay que venir al sur;Raffaela Carrá;08/10/2013
spotify:track:0i1GezGryGjdsyPovCkctk;70;Vete;Los Amaya;08/08/2000
spotify:track:17oji5hYaIqOFWFnPPWCeJ;71;Hoy tengo ganas de ti;Miguel Gallardo;12/05/1976
spotify:track:3gqvoaaF2xQmQ6uCD48PWY;72;Ni Más Ni Menos - Remastered 2014;Los Chichos;01/01/2014
spotify:track:2LmlZvAmT1L0O3iPVSQWOX;73;Hijo de la luna;Mecano;16/06/1986
spotify:track:4PRJD9T23GQKQYKhJQcGGY;74;Aquí No Hay Playa;The Refrescos;01/01/1989
spotify:track:02PROe7elhI6Cyu6KJONhX;75;Un Ramito de Violetas;Manzanita;1981
spotify:track:7pIfwKV8EOPmJlConSHk2E;76;Se acabó;María Jiménez;1978
spotify:track:5fc3XWSpJo6jTlbjnhGOJQ;77;Eva Maria;Formula V;01/01/1985
spotify:track:0EpCf7vGHOaUM8SNqt6vE2;78;¡Hola, Mi Amor!;Junco;12/04/1986
spotify:track:4I644fN7UCChrmEgJIL4KL;79;No Dudaría - Remasterizado;Antonio Flores;1980
spotify:track:5yY2UPVQ9EBKBXh2dGtU6U;80;A Mi Manera;Siempre Asi;20/09/2001
spotify:track:4DpvGOXDfjPqRkPbH8xdg6;81;Háblame de Ti;Pecos;1979
spotify:track:2FoXpK8G3FoUd6AtRmWtpo;82;Cántame;Maria Del Monte;01/01/2005
spotify:track:3QUy7Y3Ck6bxLxzksEIgYw;83;Adiós amigo;Raffaella Carrà;19/08/2016
spotify:track:2u6kCsnJO9McmlnGrtroaM;84;Se Te Nota en la Mirada;Rafa Serna;01/01/2003
spotify:track:2x3MxkdvKiWvLor7yNeLWB;85;All My Loving;Los Manolos;23/06/1991
spotify:track:40QuO7ydUjz4WiMCTIjiEN;86;Se Acabo;María Jiménez;05/06/2000
spotify:track:0GzQB5WXavUEU8tfTCAd8m;87;Cuando zarpa el amor;Camela;22/11/2004
spotify:track:2H6pXO5yKat03sbr1ERzZv;88;Noelia;Nino Bravo;01/01/1976
spotify:track:74anwTmdyvA3f8RUtCQqKD;89;Déjame;Los Secretos;15/01/1981
spotify:track:6htAV9HKCmoDdyyvDNX9DQ;90;La lista de la compra (feat. María Jiménez);La Cabra Mecanica;
spotify:track:6zdXA5yUvKnoTJwyZCnYOM;91;Sabor de amor - Versión 1988;Danza Invisible;01/01/1988
spotify:track:3f2k0XTc2ZXG17jEMDu8pp;92;Quiero tener tu presencia;Seguridad Social;1993
spotify:track:2yNkRWz9x7x3halzGPnYqn;93;Don Diablo;Miguel Bosé;1977
spotify:track:3G0C3Z9H9CLejvrkWbGBb7;94;Pa' Madrid;El Barrio;15/10/2007
spotify:track:4QkQmdvFjEVvjc1ONi6t6N;95;Bailar Pegados;Sergio Dalma;01/01/1991
spotify:track:3SLUE95oXSmqsxlcOcIdvO;96;Felicidad;Al Bano And Romina Power;30/09/2013
spotify:track:0rI1ZEB497sUv8xWp6KlYG;97;El adiós;Amigos De Gines;2001
spotify:track:1OdPui1hZTCSTVMdvjMP4o;98;Fiesta - Spanish version;Raffaella Carrà;01/09/1977
spotify:track:0ATzislS5SvAp69hjHczej;99;Solo Se Vive una Vez;Azucar Moreno;06/05/1996
spotify:track:3iB8eciGU9vZkaDYkz7Ir9;100;Bamboléo;Gipsy Kings;24/08/1987
