Track URI;n;Track;Artist;Release Year
spotify:track:0PtLrH95CQ2lKf6pym5LmA;60;El Patio;Pepe y Vizio;
spotify:track:1fvBJjZxO87mIIv1vfpznW;61;No Necesito Más;Demarco Flamenco;17/09/2021
spotify:track:2GhboGOQfXTIUpFvuSzYgf;62;Como Te Imaginé;Demarco Flamenco;03/03/2017
spotify:track:2013yX7IujgpGJHzz6Qqsi;63;Pa Ti y Pa Mí Na Má;Demarco Flamenco;29/03/2019
spotify:track:3upsUQLj24xiWJZDEH0duX;64;Dile Corazón;Makarines;12/10/2005
spotify:track:2sM4oV7mvsyPni9jiK8VLN;65;Besos amargos;Nolasco;02/11/2006
spotify:track:3YFfdub6AUsrzdcBTeWIQL;66;En Sueños;Luis Cortés;
spotify:track:39zjLQpJNopbhTrqgPyk2E;67;Ojalá Pudiera Ir;Kike & Manu;
spotify:track:1uw6eHdMtRlX6MtiZVJYB9;68;La Magia;Galvan Real;
spotify:track:4wRFK774CqSXv4zjs6HZCw;69;NO ME CONTRADIGAS;Los Yakis;
spotify:track:1KIZwblKdC0v1ndP3CyLr4;70;Entre Tú Y Yo;El Duende Callejero;06/03/2020
spotify:track:6D3YqQ9dUA9LBOLw4CEUj1;71;El Toro Guapo;El Fary;1984
spotify:track:4Q2vhlUXoWWzZQeKn7OreC;72;Y Viva España;Manolo Escobar;14/10/1991
spotify:track:2MY8gA419I34WfMDjcwUdu;73;Abreme la Puerta;El Barrio;05/12/2005
spotify:track:4vQeZuojxOs2L8yPBU7N5u;74;Cruje la cama;Raule;27/01/2022
spotify:track:1l1248gHzUcFKKIK6sCYZc;75;Vuelve;Fondo Flamenco;13/04/2023
spotify:track:77ozu4uuxwEUcz9bcvRMHx;76;Cuando Vuelva a Sevilla en Primavera;Siempre Asi;1992
spotify:track:665UnBjij6RtLPWzDvI4AJ;77;Despechá - Versión Rumba;Raya Real;18/11/2022
spotify:track:4FKX19Zq0tP8ksVy0wpwj5;78;¡Hola, Mi Amor!;Junco;01/01/2014
spotify:track:7GUOlN6JoEkkEdjsdrqQCK;79;Las Costuras Del Alma;El Barrio;27/10/2017
spotify:track:7uJoE11bYCKDxvzoMKELmS;80;Mora Cantaora;La Marelu;1981
spotify:track:4BULQjtypgEjUUnHV5u8MQ;81;Verde Mayo;Los Moles;01/01/2004
spotify:track:4tcrPcC6BLsnymMs8WbPbO;82;Porqué;Radio Macandé;01/01/2002
spotify:track:3bE8SznOXJ990MK1ElQnfr;83;Algo Sencillito;Marta Santos;05/10/2023
spotify:track:2uEngVBStlZF8s7IVUkJdO;84;La Rizos;Grupo Asere;07/09/2024
spotify:track:5O7eq2n3T1R7K4mSFZ3Gpb;85;A Mi Manera;Siempre Asi;26/04/2019
spotify:track:3WJg6tafYPq7xVmLXVLI1b;86;Achilipú;Dolores Vargas;01/01/2015
spotify:track:6CupKjRdId1AfI08q1sh3q;87;Ni Más Ni Menos;Jeros;01/01/1995
spotify:track:4mby007RgpSYu5ndxs8Lyt;88;Bamboleo / Cantinero de Cuba / Djobí, Djobá / Se Pasaban los Días / Me Va, Me Va / Mi Guitarra / Color Moreno / Ay Peregrina!;Raya Real;1994
spotify:track:5HQK5V8xkJ1r492VswCnKw;89;El Legía;Los Moles;01/01/2004
spotify:track:0D4Uf8cLzlWZnFDFV4EE7I;90;El Toro Guapo;El Fary;02/12/1996
spotify:track:5Al3Ne6UwSIjWZ3V35sEaw;91;Popurrí de Rumbas;Sal Gorda;14/02/2014
spotify:track:17nYNma8AncLFqOBk6tu6m;92;Cicatrices (feat. Indara);Sergio Contreras;
spotify:track:0loxOLrtuQBxkqdoTKTIj2;93;La Quiero A Morir;Manzanita;1980
spotify:track:0nXr4AVRzTpJ597dCinO1R;94;Pirata de Bokita;Algiva;15/07/2005
spotify:track:428cFrawSqeLoyooQjAW9d;95;La casa por el tejado;Fito y Fitipaldis;28/12/2004
spotify:track:6FjbGaWUzpAGc2aQJf69Pv;96;Sueña la Margarita;Aromas de Feria;05/04/2018
