Track URI;Track;Album;Artist;Release;Release Year;Artist;Name(s);Release;Date;Duration;(ms);Popularity;Explicit;Added;By;Added;At;Genres;Record;Label;Danceability;Energy;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time;Signature
spotify:track:3K8BeABgLXZ3JHhdM3rZBx;No Puedo Vivir Sin Ti;Por Mi y por Todos Mis Compañeros;El Canto Del Loco;24/11/2009;214960;56;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Columbia (BMG Spain);0.666;0.834;0;-3.314;1;0.0318;0.0246;0;0.208;0.61;129.982;4;;;;;;;;;;
spotify:track:1sMgCr1RH0HfAazVZt9xmZ;El Secreto de las Tortugas;Es un Secreto...No Se Lo Digas a Nadie;Maldita Nerea;07/05/2009;247840;62;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.576;0.756;1;-6.554;1;0.0486;0.00726;0.00071;0.343;0.709;169.985;4;;;;;;;;;;
spotify:track:42VgiRyg0YjtRVLiPFNxPJ;Zapatillas;Zapatillas;El Canto Del Loco;27/06/1905;172640;63;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.428;0.956;8;-2.382;0;0.178;0.0281;0;0.58;0.686;198.076;4;;;;;;;;;;
spotify:track:1VB4sadHjFcFklHcZuoROi;Como Camarón;Estopa;Estopa;18/10/1999;202026;67;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.499;0.721;9;-9.615;0;0.0564;0.216;0.00000974;0.295;0.843;140.4;4;;;;;;;;;;
spotify:track:3hlWUNjAlbZ6nOjAbrivBv;Princesas;Animales;Pereza;07/04/2005;217000;64;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;RCA Anxious;0.683;0.846;7;-3.551;1;0.0422;0.0634;0;0.346;0.706;131.884;4;;;;;;;;;;
spotify:track:4waqcUQWdj0yH26STWl2Rq;Rosas;Lo Que Te Conte Mientras Te Hacias La Dormida;La Oreja de Van Gogh;2003;236506;80;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;Columbia;0.783;0.685;9;-5.008;1;0.0271;0.627;0.00000349;0.108;0.54;107.01;4;;;;;;;;;;
spotify:track:4QBrx05HrLnohYaS1cPGHO;Volvera;Zapatillas;El Canto Del Loco;27/06/1905;229746;61;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Ariola;0.568;0.892;1;-3.091;1;0.0464;0.0111;0;0.379;0.783;126.02;4;;;;;;;;;;
spotify:track:0XJAzR3E4lq5aNGGDh8HUT;Con La Luna Llena;Con La Luna Llena;Melendi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:5OaqffbeQyVVqtnA71Ci7K;Por la Raja de Tu Falda;Estopa;Estopa;18/10/1999;202826;65;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.759;0.722;9;-9.906;0;0.0765;0.323;0;0.719;0.928;97.518;4;;;;;;;;;;
spotify:track:7cC1xYRITIkGKAGCSyqCAv;Son de Amores;Andy & Lucas;Andy & Lucas;15/04/2004;234813;15;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;flamenco,flamenco pop;Ariola;0.686;0.849;2;-5.365;0;0.158;0.466;0;0.666;0.712;81.94;4;;;;;;;;;;
spotify:track:3ri9fLG89OdSpjxheYxU7S;Me Muero;El Mundo Se Equivoca;La Quinta Estacion;15/08/2006;189560;74;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;pop latino;Ariola;0.424;0.74;5;-3.243;1;0.0347;0.171;0;0.273;0.585;169.914;4;;;;;;;;;;
spotify:track:1uFW6czrHk5PsK3s6gOI7C;Se Fue;Cosa Nuestra;Rauw Alejandro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:0quM3iWAOKw9OGIMBsppSC;SI ELLA SUPIERA;Nuestro Mundo;India Martinez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
spotify:track:6z98CyBiVapgBCecH98y4d;El Polvo de los Días Raros;El Polvo de los Días Raros;Leiva;07/02/2025;247878;48;FALSE;nwy2xzqw3fu5i7s58g14g5uw6;2025-09-07T08:19:13Z;;Sony Music Entertainment;0.284;0.651;11;-7.884;1;0.0374;0.00391;0.017;0.3;0.414;169.953;4;;;;;;;;;;
