Track URI;Track;Artist;Release year
spotify:track:4XdePl1vOF1cYjTBYeYU9j;20 de Enero;La Oreja de Van Gogh;2003
spotify:track:5xiAfKzE3mbxYbOkUZPR11;Ateo;C. Tangana;2021
spotify:track:5BSclXJTa9B0iURhUjZo50;La Tortura (feat. Alejandro Sanz);Shakira;2005
spotify:track:53y5byq0942aVeWaxU6mPa;Kriño;Pol Granch;2022
spotify:track:4aAfLSx9IthpC3Pw5pNk3E;Como Si Fueras a Morir Mañana;Leiva;2019
spotify:track:3CY6JuDw7bEHRmryKvTuoe;La Noria (with Amaral);Pereza;2006
spotify:track:07TRc0Glkk8wDVq3eC5f2Z;Me He Pillao x Ti;Ana Mena;2023
spotify:track:490e7PHsxkzMot8qCO36Bt;pa;TINI;2024
spotify:track:70AYiGbc4mWZGEqiipBBDb;CANDY;ROSALÍA;2022
spotify:track:53dfoY17ZWSnG92lrBCqMg;Nena;Pol Granch;2022
spotify:track:277ia0CBOO47RhG7XSLj4b;Risueña;Omar Montes;2023
spotify:track:4hO4Y9WR9NL5L7XnqtbTyE;90 Minutos;India Martinez;2011
spotify:track:42k1KeBehAd83lrGt1okiC;Loca (feat. El Cata);Shakira;2010
spotify:track:2VTaauLbYR0VxWaT9rlQFi;Pienso en Aquella Tarde - Nueva Versión;Pereza;2003
spotify:track:12oFSoib1tf0r2rd1Fgsfe;Convénceme;India Martinez;2019
spotify:track:4eUhX5KmmQp537lxDJpmQK;La Madre;Víctor Manuel;2024
spotify:track:75HnDKDqsmEzdOKFWe5FZS;VIVIR ASÍ ES MORIR DE AMOR;NATHY PELUSO;2021
spotify:track:0Wn489VvZ0b5MRm62LMmUM;Portales;Dani Martín;2020
spotify:track:0JKUSybmsE4rU1MpImJn0j;Cómo Quieres Que Te Quiera;Rosario;1999
spotify:track:7chjOPhoxbpRYSrO1rvdnu;5 Sentidos;Dvicio;2017
spotify:track:0XPayKZFFZA2PwSRNi1pVU;Terriblemente Cruel;Leiva;2014
spotify:track:740Rh302Wm6uHRsYTa4KDQ;A San Fernando un Ratito a Pie y Otro Caminando;Manolo Garcia;1998
spotify:track:7oZpaS7DDMyl3U7RnHsPKp;Siete Vidas;Antonio Flores;1994
spotify:track:0j6eJIII2AucQBgCGxPrFx;Millonario;Pol Granch;2020
spotify:track:4uctPC0cRfw3vOmK2YF4xR;Mi Pequeño Chernóbil;Leiva;2020
spotify:track:4CiY69daQtmIl2RNqsYCtp;Un último vals;Joaquín Sabina;2024
spotify:track:4zSpfYHyf6bN2jJVO0so03;Este Tren;Rozalén;2020
spotify:track:4BOSdVvfw3b5EAhIK5EIVX;Nuestro Tiempo;Amaral;2019
spotify:track:5YT1NfgHvrJUhgoHrvD9h7;Dejaría Todo;Chayanne;1998
spotify:track:0JXRA6bYdnwkHYAlIwEWb8;En el Mundo Genial de las Cosas Que Dices;Maldita Nerea;2011
spotify:track:4fYAcwdEtW2VCZe5Xoe7iC;A Contracorriente;El Canto Del Loco;2002
spotify:track:3nN5n70vM1tAMWBDZaRbxS;Dieciocho;Dani Martín;2018
spotify:track:3uyXupf90Zy56shfjUj7AB;Arráncame la Piel;Pol Granch;2020
spotify:track:6wfadwumj3jluiqFxqvIl0;Si Quieres Bailamos (with Quique Gonzalez);Pereza;2006
spotify:track:3xGon93gcCARQ4VgYgoirk;Sobreviviré;Monica Naranjo;2000
spotify:track:46MznfUnpFS7qEhTpNJl9t;Sobrenatural (feat. FARIANA);Dvicio;2022
spotify:track:2vvdTrdryjsl8DmPIMDWZU;EL BAÑO;Enrique Iglesias;2018
spotify:track:2reL9PAUza4PUtbjqW1fRf;Dolerme;ROSALÍA;2020
spotify:track:4UMCpYrmgZv9CsyLvrws4F;El del Medio de los Chichos;Estopa;1999
spotify:track:5qtcm02ln28nPGfFonT9ZH;Empiezo a Recordarte;Monica Naranjo;1997
spotify:track:4VRP8DfxO2qQOZrnbaj324;Enamorate;Dvicio;2014
spotify:track:3by1RwAsoZ6nNoMOCy11LM;Superpoderes;Leiva;2019
spotify:track:1G0mTAZcpoU1vKcLO8lb0n;Guerra Fria;Malú;2010
spotify:track:3Ll4D5HXvICXck8KmOjytI;Valio la Pena;Marc Anthony;2004
spotify:track:2SxtZcr9RPVvKnVPqUmiPe;Quiero Ser (feat. Amaia Montero);Jorge Celedón;2008
spotify:track:2KK9N6iBAisA0booTu3bGd;Déjala Que Baile (with Alejandro Sanz & Arkano);Melendi;2018
