Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ZqFfDwNjKvPu3USx3onhO,"Volverte A Ver","Mi Sangre","Juanes",2004-01-01,217560,69,false,franchescoropero,2020-08-30T13:52:38Z,"pop latino,tropipop,rock en español","National Own (UC)",0.616,0.698,6,-4.932,1,0.0302,0.0555,0,0.208,0.714,85.003,4
spotify:track:1KbX1VuFIgsRa9JjnQtRYA,"Bailar Contigo","Corazón Profundo (Versión Deluxe)","Carlos Vives",2013-04-21,252120,58,false,franchescoropero,2020-08-30T13:52:51Z,"tropipop,vallenato,latina,pop latino","Sony Music Latin",0.576,0.843,5,-5.034,1,0.0419,0.0159,0,0.0972,0.411,100.019,4
spotify:track:12H7K15h3aC5vRCaca65el,"Tu Amor Me Hace Bien - Salsa Version","Valio La Pena","Marc Anthony",2004-06-24,300160,57,false,franchescoropero,2020-08-30T13:52:59Z,"salsa,merengue,bachata,latina,pop latino","Columbia",0.691,0.658,0,-6.496,1,0.0359,0.398,0.0000458,0.112,0.617,97.68,4
spotify:track:0JcNysfWVWaMS7R6vzGB2k,"Robarte un Beso","VIVES","Carlos Vives;Sebastian Yatra",2017-11-10,194742,75,false,franchescoropero,2020-08-30T13:53:22Z,"tropipop,vallenato,latina,pop latino,reggaetón","Sony Music Latin",0.742,0.859,10,-4.942,1,0.0482,0.0824,0,0.359,0.652,95.046,4
spotify:track:609SDGj0txmlAXRrpwee9Y,"Llegaste Tú","8","Luis Fonsi;Juan Luis Guerra 4.40",2014-01-01,221946,65,false,franchescoropero,2020-08-30T13:53:52Z,"latina,merengue,bachata,salsa","UMLE - Latino",0.768,0.529,1,-6.758,1,0.0405,0.79,0,0.2,0.517,119.953,4
spotify:track:1O34fFJyV7djSqRtOuRSVh,"Si Me Das Tu Amor","Si Me Das Tu Amor","Carlos Vives;Wisin",2019-03-01,213186,38,false,franchescoropero,2020-08-30T13:54:05Z,"tropipop,vallenato,latina,pop latino,reggaetón","Sony Music Latin",0.707,0.88,6,-4.268,0,0.0764,0.0613,0,0.0656,0.379,93.032,4
spotify:track:2EM9zpAc7PVeoAydmbfVIL,"La Camisa Negra","Mi Sangre","Juanes",2004-01-01,216706,74,false,franchescoropero,2020-08-30T13:54:16Z,"pop latino,tropipop,rock en español","National Own (UC)",0.751,0.731,6,-4.419,0,0.0308,0.0838,0,0.0556,0.973,97.007,4
spotify:track:0fmgOwkb9AwgzXhYVSZRDs,"Te regalo","Baute","Carlos Baute",2005-07-18,169720,64,false,franchescoropero,2020-08-30T13:54:30Z,"pop latino","WM Spain",0.713,0.699,6,-6.426,1,0.0376,0.533,0,0.112,0.753,100.079,4
spotify:track:2s66rxdujHHVhNNnJfgL2D,"Voy A Olvidarme De Mi","El Rock De Mi Pueblo","Carlos Vives",2004-01-01,214813,50,false,franchescoropero,2020-08-30T13:54:42Z,"tropipop,vallenato,latina,pop latino","Capitol Latin",0.56,0.525,9,-8.419,1,0.032,0.124,0,0.103,0.377,141.985,4
spotify:track:3nUNwSYEUv9bmUc3de0Owv,"Qué Me Has Hecho (feat. Wisin)","Qué Me Has Hecho (feat. Wisin)","Chayanne;Wisin",2017-04-21,208200,54,false,franchescoropero,2020-08-30T13:54:51Z,"pop latino,reggaetón,latina","Sony Music Latin",0.745,0.874,11,-3.295,1,0.0377,0.179,0,0.309,0.532,95.028,4
spotify:track:7nKBxz47S9SD79N086fuhn,"SUBEME LA RADIO","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Enrique Iglesias;Descemer Bueno;Zion & Lennox",2017-02-24,207680,69,false,franchescoropero,2020-08-30T13:56:14Z,"pop latino,latina,reggaetón","RCA Records/Sony Music International/Sony Music Latin",0.688,0.822,0,-3.304,1,0.0537,0.0642,0,0.241,0.66,91.011,4
spotify:track:12HWO1YYMV9HEqQpava5zm,"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""","Mar De Colores (Versión Extendida)","Morat;Alvaro Soler",2019-05-10,179280,54,false,franchescoropero,2020-08-30T13:57:49Z,"tropipop,pop latino","Airforce1",0.728,0.665,10,-6.272,0,0.163,0.27,0,0.0637,0.866,93.979,4
spotify:track:4PHX6bpHDxiR9RGzAKWcyk,"Cuando Me Enamoro","Euphoria","Enrique Iglesias;Juan Luis Guerra 4.40",2010,200586,78,false,franchescoropero,2020-08-30T13:58:26Z,"pop latino,latina,merengue,bachata,salsa","Universal Music Group International",0.82,0.813,1,-3.646,1,0.0268,0.0106,0.0000484,0.0893,0.893,126.026,4
spotify:track:6YZdkObH88npeKrrkb8Ggf,"DUELE EL CORAZON (feat. Wisin)","DUELE EL CORAZON (feat. Wisin)","Enrique Iglesias;Wisin",2016-04-18,199693,67,false,franchescoropero,2020-08-30T13:58:59Z,"pop latino,latina,reggaetón","RCA Records/Sony Music International/Sony Music Latin",0.716,0.908,8,-3.254,0,0.103,0.0858,0,0.135,0.869,91.03,4
spotify:track:4bd65mDKdhgKngKlF4Q1pZ,"Ando buscando (feat. Piso 21)","De amor y dolor","Carlos Baute;Piso 21",2019-02-08,199280,53,false,franchescoropero,2020-08-30T14:00:11Z,"pop latino,reggaetón,tropipop,pop urbano","WM Spain",0.712,0.841,7,-5.432,0,0.0455,0.0685,0.0000787,0.0672,0.658,98.003,4
spotify:track:5D5UwU5aFtcqxkqlCh1qKs,"Te sigo pensando","Te sigo pensando","Carlos Baute;Marta Sánchez",2018-11-09,220646,34,false,franchescoropero,2020-08-30T14:00:45Z,"pop latino","WM Spain",0.684,0.858,0,-3.812,1,0.0344,0.101,0,0.235,0.733,94.005,4
spotify:track:0bEA0mMgXheXnahvIbIQfg,"Bailando - Spanish Version","SEX AND LOVE","Enrique Iglesias;Descemer Bueno;Gente De Zona",2015-02-01,243413,48,false,franchescoropero,2020-08-30T14:01:44Z,"pop latino,latina,latin dance","Universal Music Group International",0.723,0.777,7,-3.503,1,0.108,0.0426,0.00000368,0.0451,0.961,91.017,4
spotify:track:2IAtnd4UG52HQP9Rwart5h,"La Bomba","Vuelve","Ricky Martin",1998-02-10,274466,57,false,franchescoropero,2020-08-30T14:02:45Z,"pop latino,latina","SMI Artist",0.715,0.949,10,-5.88,0,0.0792,0.0841,0.0000358,0.165,0.845,99.198,4
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW,"María","A Medio Vivir","Ricky Martin",1995-09-12,262573,61,false,franchescoropero,2020-08-30T14:03:52Z,"pop latino,latina","Sony Discos",0.723,0.914,7,-5.598,0,0.0663,0.0726,0.0000212,0.95,0.968,101.181,4
spotify:track:709CndJJB3GTUhQD0LLFse,"Torero","Grandes Exitos","Chayanne",2002,217426,61,false,franchescoropero,2020-08-30T14:04:16Z,"pop latino","Pop Music",0.7,0.967,8,-3.462,0,0.0463,0.073,0,0.333,0.962,136.045,4
spotify:track:4ti5pZ0zs1PDf1eQswskFB,"She Bangs - Spanish Version","Sound Loaded","Ricky Martin",2000,277040,52,false,franchescoropero,2020-08-30T14:04:53Z,"pop latino,latina","Columbia",0.648,0.971,1,-3.299,1,0.0897,0.00272,0,0.317,0.857,143.966,4
spotify:track:1XYwlFvi9yPNruCanSJ3WP,"When I Dream at Night","Marc Anthony","Marc Anthony",1999-09-28,260293,43,false,franchescoropero,2020-08-30T14:05:55Z,"salsa,merengue,bachata,latina,pop latino","Columbia",0.537,0.899,2,-5.405,0,0.092,0.482,0.0000313,0.0818,0.548,167.79,4
spotify:track:0jMU9W1kcLyxXYloMHCt2i,"La Copa Rota","3.0","Marc Anthony",2013-07-23,209440,45,false,franchescoropero,2020-08-30T14:06:48Z,"salsa,merengue,bachata,latina,pop latino","Sony Music Latin",0.657,0.519,7,-8.303,0,0.0441,0.706,0,0.205,0.492,98.991,4
spotify:track:0kc6sK1HPC5fqj2dQsEraZ,"La Última Noche","Tal Cual Es","Diego Torres",1999,277866,44,false,franchescoropero,2020-08-30T14:07:32Z,"pop latino,tropipop","RCA Records Label",0.61,0.634,8,-7.15,0,0.0324,0.175,0.00000216,0.0864,0.587,153.899,4
spotify:track:1DmlUpnkg4N1VWquSoffF1,"Y, ¿Si fuera ella?","Más","Alejandro Sanz",1997,323026,72,false,franchescoropero,2020-08-30T14:08:07Z,"pop latino","WM Spain",0.428,0.556,1,-4.967,1,0.0407,0.659,0,0.115,0.162,150.732,4
